"x","y"
1.18,1.14
2.38,2.56
2.82,2.12
1.46,1.34
1.86,2.96
2.78,2.42
1.24,1.08
0.04,0.64
0.68,0.04
1.98,2.12
0.84,0.98
2.62,1.84
2.64,0.36
2.78,2.64
0.8,1.54
1.48,0.34
1.8,0.22
1.36,1.88
1.9,2.06
1.16,1.02
0.92,2.12
0.26,1.96
1.62,1.38
0.78,1.56
2.68,1.22
0.88,2.68
2.88,1.26
0.22,0.82
2.76,2.54
2.06,1.04
1.62,1.66
1.66,0.16
0.3,1.5
0.88,0.68
2.02,2.78
2.62,1.5
2.48,1.08
2.7,1.44
2.92,2.7
0.06,2.76
0.12,1.84
1.5,1.04
2.92,1.58
0.34,2.54
1.64,0
2.44,2.3
2.02,0.32
0.58,0.98
0.86,2.04
2.88,1.46
2.22,2.34
2.56,1.62
0.86,1.48
1.44,2.4
0.56,1.16
2.78,2.78
2.96,2.16
0.9,1.42
0.12,1.76
1.94,1.82
1.2,0.58
0.78,0.44
1.72,0.48
2.24,1.98
1.16,2.72
0.86,2.42
2.6,0.64
2.8,1.8
2.44,2.96
2.88,1.62
1.58,2.16
1.36,1.26
0.32,0.14
3,2.8
0.7,1.4
2.24,0.64
2.06,2.08
0.1,2.28
2.12,0.84
0.76,1.5
0.92,0.52
2.84,2.82
1.7,2.64
2.24,1.12
2.46,1.08
2.66,2.96
2.56,1.92
1.4,0.88
1.76,0.62
0.32,0.14
2.1,2.12
0.38,2.1
1.68,0.74
2.5,2.26
1.54,0.3
1.32,2.34
0.48,1.44
0.82,0.68
0.88,0.36
2.9,1.08
0.78,0.4
0.34,0.86
0.56,0.68
0.42,0.42
0.68,0.66
0.7,0.5
0.82,0.56
0.04,0.94
0.72,0.58
0.66,0.36
0.12,0.8
0.64,0.7
0.6,0.7
0.94,0.36
0.5,0.22
0.66,0.58
0.32,0.08
0.54,0.34
0.02,0.18
0.2,0.6
0.74,0.2
0.02,0.44
0.56,0.8
0.12,0.14
0.02,0.66
0.28,0.78
0.76,0.5
0.26,0.48
0.82,0.9
0.82,0.18
0.88,0.06
0.74,1
0.84,0.34
0.36,0.24
0.12,0.46
0.8,0.78
0.34,0.76
0.36,0.28
0.82,0.66
0.42,0.68
0.24,0.04
0.46,0.84
0.86,0.4
0.32,0.32
0.56,0.04
0.28,0.86
0.96,0.54
0.7,0.5
0.38,0.4
0.46,0.94
0.3,0.72
0.8,0.42
0.48,0.8
0.26,0.92
0.66,0.72
0.04,0.98
0.22,0.74
0.3,0.1
0.4,0.2
0.84,0.6
0.3,0.7
0.84,0.68
0.5,0.6
0.66,0.86
0.52,0.5
0.04,0.24
0.5,0.2
0.62,0.74
0.7,0.48
0.3,0.46
0.68,0.74
0.18,0.6
0.92,0.36
0.7,0.58
0.36,0.78
0,0.44
0.42,0.92
0.54,0.72
0.66,0.02
0.02,0.14
0.58,0.36
0.56,0.18
0.42,0.12
0,0.48
0.8,0.9
